ORF	SMF	SDV
YBR010W	0.965523	0.009382
YBR012C	1.013474	0.010995
YBR013C	1.030409	0.009883
YBR014C	1.043757	0.008412
YBR015C	1.015871	0.006549
YBR016W	0.989052	0.013013
YBR017C	0.604769	0.026275
YBR018C	1.003780	0.008426
YBR019C	0.993840	0.006148
YBR020W	1.021848	0.006519
YBR021W	0.377421	0.020263
YBR022W	1.068411	0.012334
YBR023C	0.991252	0.008414
YBR024W	1.062602	0.006972
YBR025C	0.879414	0.011207
YBR026C	0.724826	0.015285
YBR027C	1.007385	0.011398
YBR028C	0.977762	0.006729
YBR030W	1.014952	0.010552
YBR031W	0.951902	0.008356
YBR032W	0.980153	0.011965
YBR033W	1.026829	0.010323
YBR034C	0.960995	0.009714
YBR035C	0.349075	0.029487
YBR036C	0.540623	0.022086
YBR037C	0.522080	0.048521
YBR039W	0.466649	0.019354
YBR040W	1.091199	0.012155
YBR041W	1.021858	0.008093
YBR042C	1.025758	0.009735
YBR043C	1.004853	0.008892
YBR044C	0.974240	0.016947
YBR045C	1.030490	0.009297
YBR046C	1.024037	0.007988
YBR047W	1.013536	0.008868
YBR048W	0.708931	0.020692
YBR050C	1.058812	0.007952
YBR051W	1.020226	0.005950
YBR052C	1.009444	0.004998
YBR053C	1.008934	0.005059
YBR054W	1.040154	0.007802
YBR056W	1.081328	0.013018
YBR056W-A	1.007168	0.007649
YBR057C	0.947623	0.017288
YBR058C	1.008307	0.008949
YBR058C-A	NaN	NaN
YBR059C	NaN	NaN
YBR061C	0.288459	0.016748
YBR062C	0.988257	0.016113
YBR063C	1.036921	0.007471
YBR064W	1.004871	0.010585
YBR065C	1.046322	0.011143
YBR066C	1.019049	0.006994
YBR067C	1.003460	0.006785
YBR068C	1.033690	0.008241
YBR069C	1.016593	0.006363
YBR071W	1.078127	0.007694
YBR072C-A	1.023727	0.009516
YBR072W	1.023298	0.007380
YBR073W	1.015545	0.011623
YBR074W	1.000833	0.005792
YBR075W	1.026334	0.009247
YBR076W	0.939638	0.010671
YBR077C	NaN	NaN
YBR078W	1.132218	0.011098
YBR082C	0.847744	0.013759
YBR083W	1.011024	0.007314
YBR084C-A	0.651412	0.024134
YBR084W	1.053696	0.010070
YBR085C-A	1.021050	0.012274
YBR085W	1.021199	0.011493
YBR086C	0.964784	0.013149
YBR089C-A	0.983922	0.007113
YBR090C	1.021241	0.009736
YBR090C-A	1.028597	0.011131
YBR092C	1.012410	0.008899
YBR093C	1.101967	0.004863
YBR094W	0.943228	0.011365
YBR095C	1.018085	0.013822
YBR096W	1.093584	0.008375
YBR097W	NaN	NaN
YBR098W	1.013191	0.012757
YBR099C	0.968454	0.009578
YBR100W	0.955433	0.012518
YBR101C	0.783311	0.010213
YBR103W	0.965432	0.010006
YBR104W	1.035814	0.008485
YBR105C	0.973662	0.009355
YBR106W	0.422440	0.061474
YBR107C	1.000188	0.008405
YBR108W	1.010739	0.012221
YBR111C	1.016319	0.009680
YBR111W-A	0.915405	0.007364
YBR112C	0.956050	0.009722
YBR113W	NaN	NaN
YBR114W	0.977623	0.009928
YBR115C	0.245579	0.018936
YBR116C	1.012540	0.006451
YBR117C	1.000036	0.006450
YBR118W	0.913825	0.010515
YBR119W	1.032098	0.009315
YBR120C	0.750423	0.064096
YBR121C	NaN	NaN
YBR122C	NaN	NaN
YBR125C	1.041009	0.010227
YBR126C	0.762081	0.019605
YBR127C	0.242321	0.023123
YBR128C	0.985895	0.006996
YBR129C	0.969345	0.005855
YBR130C	1.059814	0.006928
YBR131W	0.835244	0.016544
YBR132C	1.022371	0.009250
YBR133C	1.044438	0.008524
YBR134W	1.062599	0.012422
YBR137W	1.031986	0.007829
YBR138C	1.019474	0.006954
YBR139W	1.002935	0.006952
YBR141C	1.044261	0.014188
YBR144C	NaN	NaN
YBR145W	1.031939	0.004588
YBR146W	0.540010	0.018001
YBR147W	1.015195	0.011134
YBR148W	1.064707	0.010297
YBR149W	1.050508	0.007311
YBR150C	0.967794	0.010094
YBR151W	1.083430	0.014213
YBR156C	0.766182	0.013873
YBR157C	1.044703	0.009601
YBR158W	1.003188	0.010561
YBR159W	NaN	NaN
YBR161W	1.017334	0.006552
YBR162C	1.044786	0.007934
YBR162W-A	1.011822	0.006558
YBR163W	NaN	NaN
YBR164C	0.952414	0.009729
YBR165W	1.008141	0.005240
YBR166C	0.922541	0.006074
YBR168W	0.950570	0.012529
YBR169C	1.006084	0.007807
YBR170C	NaN	NaN
YBR171W	0.901397	0.024159
YBR172C	0.995507	0.005951
YBR173C	0.528160	0.023653
YBR174C	0.806718	0.030092
YBR175W	0.802576	0.016320
YBR176W	1.038077	0.008578
YBR177C	1.088988	0.008041
YBR178W	1.037481	0.006644
YBR179C	1.113620	0.009430
YBR180W	0.983482	0.012802
YBR181C	0.667367	0.018676
YBR182C	0.990595	0.008580
YBR182C-A	1.047994	0.022710
YBR183W	1.060320	0.007715
YBR184W	1.034391	0.006781
YBR185C	0.944830	0.013613
YBR186W	1.011393	0.005718
YBR187W	1.020297	0.006922
YBR188C	1.028668	0.010730
YBR189W	0.336303	0.029361
YBR191W	0.928055	0.006607
YBR194W	0.950011	0.011346
YBR195C	0.923913	0.013468
YBR196C-A	0.846080	0.024602
YBR196C-B	1.029589	0.011520
YBR197C	1.040944	0.009399
YBR199W	1.067833	0.007158
YBR200W	0.714993	0.017003
YBR200W-A	1.018833	0.012133
YBR201W	1.043078	0.006070
YBR203W	1.050895	0.007713
YBR204C	1.016572	0.006116
YBR205W	1.019159	0.006774
YBR206W	1.024027	0.009520
YBR207W	1.047672	0.007593
YBR208C	1.029733	0.008108
YBR209W	NaN	NaN
YBR210W	0.978723	0.012923
YBR212W	0.991382	0.023017
YBR213W	1.029078	0.005491
YBR214W	1.042783	0.007502
YBR215W	0.977096	0.011548
YBR216C	0.966602	0.011186
YBR217W	0.993091	0.006838
YBR218C	0.998339	0.013717
