ORF	SMF	SDV
YGR019W	1.022576	0.006641
YGR020C	0.276304	0.019828
YGR021W	1.044810	0.015419
YGR022C	1.031917	0.012011
YGR023W	1.066022	0.009302
YGR025W	1.120909	0.016944
YGR026W	1.025579	0.008215
YGR027C	0.852630	0.010115
YGR028W	0.965576	0.016195
YGR031W	1.016705	0.008102
YGR032W	1.013248	0.011298
YGR033C	1.018321	0.009468
YGR034W	0.877265	0.022166
YGR035C	1.012653	0.009968
YGR035W-A	1.094640	0.015925
YGR036C	0.418516	0.025174
YGR037C	1.044245	0.009777
YGR038W	0.988416	0.006191
YGR039W	0.988491	0.013372
YGR040W	0.988161	0.008523
YGR041W	0.986617	0.008450
YGR042W	0.992653	0.009867
YGR043C	1.022528	0.007472
YGR044C	1.060751	0.007509
YGR045C	1.036314	0.006844
YGR049W	1.050908	0.006048
YGR050C	1.043965	0.011477
YGR051C	1.085368	0.010076
YGR052W	1.035426	0.011771
YGR053C	0.980209	0.011238
YGR054W	0.979361	0.010972
YGR055W	1.002275	0.015250
YGR057C	0.780167	0.010672
YGR058W	0.943531	0.013291
YGR059W	1.038241	0.009622
YGR061C	1.039771	0.009524
YGR062C	0.720369	0.041544
YGR063C	0.514447	0.028156
YGR066C	1.043804	0.005927
YGR067C	1.040306	0.005932
YGR068C	1.006660	0.006048
YGR069W	1.017187	0.010936
YGR070W	1.034916	0.008247
YGR071C	1.062418	0.006323
YGR072W	1.002811	0.009325
YGR076C	0.546329	0.047719
YGR077C	0.855610	0.011935
YGR078C	0.667206	0.021798
YGR079W	0.972490	0.007616
YGR080W	0.999472	0.016291
YGR081C	0.846644	0.013087
YGR084C	0.977204	0.006965
YGR085C	0.801187	0.011819
YGR086C	0.991961	0.009626
YGR087C	1.024153	0.006323
YGR088W	1.043803	0.007081
YGR089W	0.960545	0.010022
YGR092W	0.729719	0.036724
YGR093W	1.005681	0.007828
YGR096W	1.065121	0.007969
YGR097W	0.461021	0.088762
YGR100W	0.975879	0.008634
YGR101W	0.738586	0.023358
YGR102C	1.000418	0.010499
YGR104C	0.448644	0.012195
YGR105W	0.420302	0.018839
YGR106C	1.033415	0.006666
YGR107W	0.988120	0.015236
YGR108W	1.006852	0.013356
YGR109C	1.031477	0.007603
YGR110W	0.995661	0.007415
YGR111W	1.007961	0.008597
YGR112W	0.798607	0.054171
YGR117C	1.008092	0.007404
YGR118W	0.807152	0.013970
YGR121C	1.065876	0.012040
YGR121W-A	1.022398	0.004422
YGR122C-A	0.962423	0.012098
YGR122W	0.872567	0.027780
YGR123C	1.063320	0.006506
YGR124W	1.022228	0.006219
YGR125W	0.866275	0.022789
YGR126W	1.064262	0.009454
YGR127W	1.015068	0.008161
YGR129W	1.002355	0.005822
YGR130C	1.030755	0.007625
YGR131W	1.065925	0.008802
YGR132C	1.003880	0.009724
YGR133W	0.908628	0.010368
YGR134W	0.987118	0.007076
YGR135W	0.845454	0.009415
YGR136W	1.046878	0.008544
YGR137W	1.020492	0.009519
YGR138C	1.009271	0.005236
YGR139W	1.006696	0.016676
YGR141W	0.956416	0.007634
YGR142W	0.998109	0.005680
YGR143W	1.039329	0.007377
YGR144W	1.056627	0.006454
YGR146C	1.077489	0.007597
YGR146C-A	1.020358	0.009879
YGR148C	0.875595	0.008151
YGR149W	1.025186	0.007108
YGR150C	0.311065	0.024738
YGR151C	1.000855	0.012670
YGR152C	1.015971	0.015415
YGR153W	1.007351	0.008460
YGR154C	0.975628	0.016151
YGR155W	0.438773	0.022958
YGR157W	0.626313	0.016917
YGR159C	NaN	NaN
YGR161C	1.026180	0.010342
YGR161W-C	1.036194	0.007725
YGR162W	0.533976	0.025979
YGR163W	0.754557	0.021856
YGR164W	0.989655	0.014982
YGR165W	0.589655	0.089876
YGR166W	0.957032	0.007474
YGR167W	NaN	NaN
YGR168C	1.000235	0.008198
YGR169C	1.034501	0.008726
YGR169C-A	0.960587	0.009115
YGR170W	1.002190	0.005470
YGR171C	0.423529	0.039288
YGR173W	1.066410	0.009550
YGR174C	0.966831	0.012225
YGR174W-A	NaN	NaN
YGR176W	1.021068	0.013019
YGR177C	1.056862	0.008656
YGR178C	1.048613	0.013882
YGR180C	0.769546	0.014447
YGR181W	1.064954	0.012577
YGR182C	1.013230	0.021558
YGR183C	0.829140	0.042518
YGR184C	1.000250	0.012824
YGR187C	0.977963	0.009157
YGR188C	0.417163	0.022295
YGR189C	1.010125	0.007971
YGR192C	0.987859	0.008289
YGR193C	1.011273	0.006603
YGR194C	1.012322	0.006443
YGR196C	1.063952	0.008201
YGR197C	1.018397	0.011296
YGR199W	1.016474	0.009376
YGR200C	0.787754	0.009276
YGR201C	1.059592	0.007660
YGR202C	1.033790	0.005652
YGR203W	1.000379	0.007613
YGR204C-A	1.050186	0.008947
YGR204W	0.281692	0.015167
YGR205W	1.008446	0.005367
YGR206W	1.027810	0.011113
YGR207C	1.026821	0.008195
YGR208W	0.921564	0.013378
YGR209C	1.091330	0.009617
YGR210C	1.034191	0.009968
YGR212W	1.053195	0.013699
YGR213C	1.060371	0.007435
YGR214W	0.823729	0.012644
YGR215W	0.566875	0.049262
YGR217W	1.068556	0.011105
YGR220C	0.430616	0.098869
YGR221C	1.014623	0.007133
YGR222W	0.732162	0.033893
YGR223C	0.986356	0.010429
YGR224W	1.002014	0.006526
YGR225W	1.013227	0.006665
YGR226C	1.001518	0.007060
YGR227W	1.015652	0.012258
YGR228W	0.970206	0.011117
YGR229C	0.777685	0.015147
YGR230W	1.053438	0.010110
YGR231C	0.967894	0.009530
YGR232W	0.995801	0.007803
YGR233C	1.028200	0.004988
YGR234W	1.052084	0.007141
YGR235C	1.055948	0.007237
YGR236C	1.001412	0.011163
YGR237C	0.922344	0.007340
YGR238C	1.030246	0.008491
YGR239C	0.988023	0.009863
YGR240C	0.460384	0.028884
YGR240C-A	1.101595	0.013543
YGR241C	1.046278	0.009144
YGR242W	0.998824	0.010085
YGR243W	1.055993	0.009542
YGR244C	1.050313	0.008936
YGR247W	1.030412	0.006659
YGR248W	1.039576	0.008695
YGR249W	1.050289	0.010806
YGR250C	1.032340	0.011139
YGR252W	NaN	NaN
YGR254W	1.022514	0.007732
YGR255C	0.803319	0.024235
YGR256W	1.034812	0.007428
YGR257C	0.740591	0.040684
YGR258C	0.945379	0.012972
YGR259C	1.008460	0.013475
YGR260W	0.980055	0.005313
YGR261C	0.964971	0.011481
YGR262C	1.009241	0.010429
YGR263C	1.007004	0.007044
YGR266W	1.090709	0.021744
YGR268C	0.994378	0.014281
YGR269W	0.985672	0.010764
YGR270W	0.806560	0.011758
YGR271C-A	NaN	NaN
YGR271W	0.997250	0.007637
YGR272C	NaN	NaN
YGR273C	1.022142	0.006354
YGR275W	1.007431	0.007379
YGR276C	1.017579	0.008655
YGR279C	1.032740	0.010398
YGR281W	0.986222	0.012372
YGR282C	1.054578	0.007344
YGR283C	0.971724	0.006171
YGR284C	0.999415	0.007773
YGR285C	0.366723	0.015159
YGR286C	0.969020	0.012716
YGR287C	1.038234	0.007518
YGR288W	1.018104	0.005280
YGR289C	1.018590	0.007264
YGR290W	1.031083	0.008568
YGR291C	1.060491	0.010914
YGR292W	0.996124	0.014590
YGR294W	0.992280	0.007351
YGR295C	NaN	NaN
YGR296W	1.091238	0.009391
YHL001W	0.907470	0.009540
YHL002W	1.016220	0.008731
YHL003C	1.040804	0.012234
YHL004W	0.292047	0.017178
YHL005C	NaN	NaN
YHL006C	0.994237	0.011461
YHL007C	NaN	NaN
YHL008C	1.007453	0.008787
YHL009C	0.987859	0.010368
YHL010C	1.006180	0.006832
YHL011C	NaN	NaN
YHL012W	1.018973	0.009216
YHL013C	0.936223	0.010141
YHL014C	1.016904	0.007766
YHL015W-A	1.017192	0.006490
YHL016C	1.010520	0.007985
YHL017W	1.003981	0.008746
YHL019C	0.979701	0.008770
YHL020C	0.947304	0.008205
YHL021C	0.996775	0.012283
YHL022C	1.005155	0.007725
YHL023C	0.910616	0.011343
YHL024W	1.008395	0.009802
YHL025W	0.430449	0.045005
YHL026C	0.989429	0.007411
YHL027W	0.731838	0.021975
YHL028W	0.974670	0.008535
YHL029C	0.938742	0.007867
YHL030W	1.112969	0.006530
YHL031C	NaN	NaN
YHL032C	1.026499	0.007734
YHL033C	0.860421	0.010300
YHL034C	0.897730	0.020273
YHL035C	1.025226	0.009251
YHL036W	0.991866	0.007839
YHL037C	0.984389	0.007943
YHL038C	0.687212	0.044119
YHL039W	1.005535	0.007737
YHL040C	0.975394	0.007354
YHL041W	0.965785	0.010548
YHL042W	0.988169	0.009427
YHL043W	1.000261	0.006469
YHL044W	1.016791	0.007046
YHL045W	1.058643	0.012090
YHL046C	1.016241	0.006225
YHL047C	1.007233	0.009514
YHL048C-A	1.002442	0.011161
YHL048W	0.994834	0.010351
YHL050C	1.121932	0.007257
YHR001W	NaN	NaN
YHR001W-A	0.988019	0.010196
YHR002W	0.862637	0.010953
YHR003C	1.012571	0.009290
YHR004C	0.940842	0.008927
YHR005C	NaN	NaN
YHR006W	1.011771	0.006461
YHR007C-A	0.995980	0.011355
YHR008C	0.997382	0.014692
YHR009C	0.990305	0.015695
YHR011W	0.358404	0.040814
YHR012W	0.801776	0.013688
YHR013C	0.513691	0.036757
YHR014W	1.004998	0.006724
YHR015W	1.008357	0.006765
YHR016C	0.975944	0.009993
YHR017W	1.018308	0.009005
YHR018C	NaN	NaN
YHR021C	0.471126	0.023602
YHR021W-A	0.964526	0.014068
YHR022C	0.991558	0.008260
YHR022C-A	0.984786	0.018848
YHR025W	0.565254	0.032002
YHR026W	NaN	NaN
YHR027C	NaN	NaN
YHR028C	1.005659	0.008073
YHR029C	0.986845	0.007853
YHR030C	0.966720	0.010062
YHR031C	0.990204	0.009071
YHR032W	1.036461	0.006785
YHR033W	0.984025	0.007398
YHR034C	0.873560	0.008100
YHR035W	1.010003	0.006538
YHR037W	1.010060	0.009830
YHR038W	0.569517	0.052220
YHR039C	1.030429	0.007038
YHR039C-A	0.351938	0.021470
YHR041C	0.573466	0.020481
YHR043C	1.007169	0.009077
YHR044C	1.009159	0.006818
YHR045W	1.016734	0.007276
YHR046C	0.987605	0.008842
YHR047C	0.999007	0.007122
YHR048W	1.016195	0.008577
YHR049C-A	1.012540	0.008694
YHR049W	1.001197	0.010055
YHR050W	1.002700	0.014535
YHR050W-A	0.910167	0.025455
YHR051W	0.656743	0.046164
YHR052W	NaN	NaN
YHR054C	NaN	NaN
YHR055C	1.066411	0.010044
YHR057C	1.028949	0.009560
YHR059W	0.985706	0.014614
YHR060W	0.356230	0.023811
YHR061C	1.020468	0.006960
YHR063C	1.013891	0.006497
YHR064C	0.320785	0.017830
YHR066W	0.817441	0.016556
YHR067W	0.784710	0.014784
YHR071W	0.988736	0.011843
YHR073W	0.999391	0.006958
YHR075C	0.995857	0.009295
YHR076W	1.042682	0.007840
YHR077C	0.994596	0.007207
YHR078W	1.100455	0.016084
YHR079C	0.988882	0.011115
YHR079C-A	1.058907	0.010408
YHR079C-B	1.025666	0.011607
YHR080C	1.057133	0.007324
YHR081W	0.638748	0.016295
YHR082C	1.067124	0.010885
YHR084W	NaN	NaN
YHR086W	1.021643	0.009299
YHR086W-A	1.000907	0.005628
YHR087W	1.000409	0.015390
YHR089C	0.861552	0.011074
YHR091C	0.345903	0.065031
YHR092C	1.018031	0.005920
YHR093W	1.017749	0.008423
YHR094C	1.023649	0.008316
YHR095W	1.027484	0.013616
YHR096C	0.988058	0.008479
YHR097C	0.997437	0.007158
YHR098C	NaN	NaN
YHR099W	1.041412	0.011677
YHR100C	0.571781	0.026622
YHR103W	0.978312	0.010423
YHR104W	1.013270	0.006372
YHR105W	1.029763	0.006531
YHR106W	1.038039	0.008878
YHR108W	0.909354	0.006524
YHR109W	1.008408	0.008140
YHR110W	1.004840	0.005821
YHR111W	0.875875	0.009040
YHR112C	1.036878	0.010138
YHR113W	1.056280	0.008791
YHR114W	1.009552	0.007461
YHR115C	NaN	NaN
YHR116W	0.730641	0.033195
YHR117W	1.084689	0.015241
YHR119W	0.874230	0.008594
YHR120W	0.668286	0.042162
YHR121W	1.000208	0.005676
YHR123W	1.007438	0.007107
YHR124W	0.967644	0.006082
YHR125W	0.996214	0.008536
YHR126C	1.035965	0.011937
YHR127W	1.024576	0.006869
YHR128W	0.734190	0.017345
YHR129C	0.902045	0.022982
YHR130C	0.992506	0.014709
YHR131C	1.011839	0.005545
YHR132C	0.990278	0.010477
YHR132W-A	1.017496	0.009247
YHR133C	1.000091	0.008428
YHR134W	0.905254	0.008534
YHR135C	0.997579	0.008529
YHR136C	1.034007	0.009754
YHR137W	1.027899	0.009599
YHR138C	1.030140	0.003920
YHR139C	1.055255	0.013820
YHR139C-A	1.027110	0.008469
YHR140W	0.998582	0.010759
YHR141C	0.502024	0.022834
YHR142W	1.005300	0.006717
YHR143W	1.046028	0.008551
YHR144C	0.819138	0.015723
YHR146W	1.026663	0.009544
YHR147C	0.426893	0.032509
YHR149C	NaN	NaN
YHR150W	0.986078	0.008580
YHR151C	1.020409	0.010260
YHR152W	1.032265	0.013011
YHR153C	1.030837	0.006865
YHR154W	1.005518	0.011676
YHR155W	1.038742	0.007486
YHR156C	1.041443	0.007936
YHR157W	0.954867	0.011115
YHR158C	1.008278	0.008538
YHR159W	1.035525	0.007985
YHR160C	1.048495	0.016881
YHR161C	0.964098	0.010653
YHR162W	0.987469	0.011063
YHR163W	1.037083	0.013102
YHR165C	1.001511	0.004579
YHR167W	0.994308	0.011074
YHR168W	0.661782	0.041838
YHR171W	0.946458	0.007419
YHR174W	NaN	NaN
YHR175W	NaN	NaN
YHR175W-A	1.076755	0.012284
YHR176W	1.014407	0.006255
YHR177W	0.985409	0.007595
YHR178W	0.788930	0.039569
YHR179W	1.038825	0.005197
YHR180W	0.988437	0.053505
YHR181W	1.004544	0.007423
YHR182W	1.014878	0.008083
YHR183W	0.313554	0.036060
YHR184W	0.983531	0.008721
YHR185C	0.994678	0.010804
YHR187W	0.759054	0.009453
YHR189W	0.857950	0.018166
YHR191C	0.883163	0.016786
YHR192W	1.098156	0.009134
YHR193C	0.958692	0.007933
YHR194W	0.461552	0.021785
YHR195W	1.024270	0.006666
YHR198C	0.971517	0.016362
YHR199C	1.020872	0.010395
YHR199C-A	0.998068	0.006926
YHR200W	0.932601	0.007345
YHR201C	1.007486	0.010638
YHR202W	1.012870	0.007204
YHR203C	0.714576	0.016230
YHR204W	1.016613	0.006578
YHR206W	0.961829	0.006505
YHR207C	1.036706	0.007008
YHR208W	0.793616	0.008754
YHR209W	1.027653	0.006704
YHR210C	1.011082	0.007368
YHR211W	1.063508	0.008309
YHR212W-A	1.064203	0.007024
YHR213W	1.040046	0.006766
YHR213W-A	1.060075	0.007791
YHR213W-B	1.051048	0.011185
YHR214C-D	0.983988	0.010201
YHR214C-E	1.102679	0.021455
YHR214W	NaN	NaN
YHR215W	0.980816	0.006486
YHR216W	1.028781	0.014032
YHR218W	1.035218	0.010707
YHR219W	1.023446	0.010531
YIL001W	1.019068	0.005027
YIL002C	0.988712	0.004891
YIL002W-A	0.988980	0.006939
YIL005W	0.989819	0.005598
YIL006W	NaN	NaN
YIL007C	1.004389	0.006338
YIL008W	0.828484	0.010892
YIL009C-A	1.034901	0.012108
YIL009W	1.090338	0.009850
YIL010W	1.011842	0.008826
YIL011W	1.036862	0.010659
YIL012W	1.037522	0.012097
YIL013C	1.015746	0.006878
YIL014C-A	0.992880	0.010842
YIL014W	1.019873	0.006525
YIL015C-A	0.973834	0.011764
YIL015W	0.989973	0.006015
YIL016W	1.029638	0.007421
YIL017C	0.984606	0.006571
YIL018W	0.382951	0.040338
YIL020C	0.486979	0.038019
YIL023C	1.050568	0.011049
YIL024C	0.994300	0.008393
YIL025C	1.036518	0.013454
YIL027C	0.998903	0.009608
YIL028W	0.973903	0.016805
YIL029C	1.050964	0.012030
YIL030C	1.044374	0.006723
YIL032C	1.002362	0.009838
YIL033C	0.947783	0.010351
YIL034C	1.003677	0.007984
YIL035C	0.970497	0.014738
YIL036W	0.976697	0.016293
YIL037C	1.020037	0.009783
YIL038C	0.867574	0.019665
YIL039W	0.986303	0.024239
YIL040W	0.844520	0.022506
YIL041W	1.004946	0.010123
YIL042C	1.021095	0.008328
YIL043C	1.031399	0.010093
YIL044C	0.933297	0.011537
YIL045W	0.982952	0.004022
YIL046W-A	1.028215	0.008077
YIL047C	0.997697	0.006223
YIL049W	NaN	NaN
YIL050W	0.964772	0.009385
YIL052C	0.893030	0.012081
YIL053W	0.966962	0.006922
YIL054W	1.015558	0.012054
YIL055C	1.018334	0.006793
YIL056W	0.999219	0.008314
YIL057C	1.053562	0.008294
YIL058W	0.973686	0.013654
YIL059C	1.006326	0.012678
YIL060W	0.639340	0.019053
YIL064W	0.939682	0.010167
YIL065C	0.890726	0.016590
YIL066C	1.003875	0.006072
YIL067C	1.044380	0.010669
YIL069C	0.871335	0.011640
YIL070C	0.876465	0.021905
YIL071C	1.040096	0.006571
YIL072W	1.035415	0.012477
YIL073C	0.978396	0.008678
YIL074C	1.023863	0.004946
YIL076W	0.633918	0.032338
YIL077C	0.965975	0.012682
YIL079C	0.981479	0.012365
YIL080W	1.006717	0.009278
YIL084C	0.865858	0.016852
YIL085C	1.022485	0.007344
YIL086C	0.968439	0.016156
YIL087C	1.050289	0.008682
YIL088C	1.028594	0.007331
YIL089W	1.020851	0.007353
YIL090W	0.533087	0.022852
YIL092W	1.003083	0.009108
YIL093C	0.562190	0.016640
YIL094C	0.322117	0.019109
YIL095W	1.071184	0.009414
YIL096C	1.050212	0.008483
YIL097W	1.010585	0.008638
YIL098C	0.857491	0.023452
YIL099W	1.016046	0.005116
YIL100W	1.018002	0.010914
YIL101C	0.996651	0.006216
YIL102C	0.989487	0.009509
YIL103W	0.982038	0.006967
YIL105C	1.040913	0.006496
YIL107C	1.013172	0.007442
YIL108W	1.013805	0.006344
YIL110W	0.624145	0.036612
YIL111W	1.035434	0.007454
YIL112W	0.953544	0.009949
YIL113W	1.039019	0.010423
YIL114C	1.034203	0.006106
YIL116W	0.311809	0.015636
YIL117C	1.023703	0.006922
YIL119C	1.066609	0.007913
YIL120W	1.077356	0.012775
YIL121W	0.989814	0.004739
YIL122W	0.922064	0.011570
YIL123W	1.011648	0.006019
YIL124W	1.036343	0.006912
YIL125W	NaN	NaN
YIL127C	0.993483	0.008434
YIL128W	0.519727	0.017788
YIL130W	1.078312	0.007567
YIL131C	0.994227	0.007841
YIL132C	0.999923	0.009371
YIL133C	0.929658	0.010931
YIL134C-A	1.025493	0.006400
YIL134W	0.702857	0.023470
YIL135C	1.039214	0.009504
YIL136W	1.059750	0.007859
YIL137C	1.011203	0.012441
YIL138C	1.035853	0.005967
YIL139C	1.038155	0.011072
YIL140W	1.019771	0.009155
YIL141W	1.029030	0.011214
YIL145C	0.987697	0.005737
YIL146C	1.022441	0.009098
YIL148W	0.748166	0.029987
YIL149C	0.998503	0.010284
YIL151C	0.963698	0.007846
YIL152W	1.033954	0.010347
YIL153W	0.892498	0.019610
YIL154C	0.927728	0.016777
YIL155C	1.036415	0.008377
YIL156W	1.013747	0.007728
YIL157C	0.724324	0.031235
YIL158W	1.006427	0.012894
YIL159W	1.004314	0.011829
YIL160C	1.036834	0.012827
YIL161W	1.025362	0.009210
YIL162W	1.041625	0.008261
YIL163C	1.032451	0.009953
YIL164C	0.999986	0.005849
YIL165C	1.058173	0.008096
YIL166C	0.982107	0.026445
YIL167W	0.998538	0.007315
YIL168W	0.985086	0.010038
YIL169C	1.003524	0.013111
YIL170W	1.027469	0.006316
YIL171W	NaN	NaN
YIL172C	1.026461	0.006291
YIL173W	1.015881	0.009748
YIL174W	1.136889	0.012896
YIL175W	0.995510	0.017448
YIL176C	0.995766	0.010954
YIL177C	NaN	NaN
YIR001C	1.012921	0.012496
YIR002C	0.956739	0.018433
YIR003W	1.030797	0.009141
YIR004W	NaN	NaN
YIR005W	0.824938	0.023359
YIR007W	0.986914	0.010506
YIR009W	0.366577	0.022909
YIR013C	0.998401	0.008836
YIR014W	0.979420	0.007953
YIR016W	0.975149	0.008773
YIR017C	1.021897	0.011460
YIR018C-A	1.019630	0.010364
YIR018W	1.048701	0.006503
YIR019C	0.968410	0.021099
YIR020C	1.046860	0.011274
YIR020W-B	1.015197	0.009398
YIR021W	0.676526	0.099200
YIR021W-A	0.997722	0.006517
YIR023W	0.530262	0.019780
YIR024C	0.993189	0.008513
YIR025W	0.984358	0.016610
YIR026C	0.437348	0.019106
YIR027C	0.987829	0.005432
YIR028W	1.005524	0.006079
YIR029W	1.043432	0.005221
YIR030C	1.032318	0.006577
YIR031C	1.009759	0.005780
YIR032C	1.031362	0.006188
YIR033W	0.852858	0.012040
YIR034C	NaN	NaN
YIR035C	1.025025	0.005504
YIR036C	1.003601	0.009101
YIR037W	1.022428	0.009572
YIR038C	1.030202	0.007354
YIR039C	1.023779	0.006619
YIR041W	1.009288	0.016192
YIR042C	1.029608	0.006017
YIR043C	1.044247	0.008110
YIR044C	NaN	NaN
YJL003W	0.689419	0.048632
YJL004C	0.963679	0.009401
YJL007C	1.016650	0.013149
YJL012C	1.017514	0.008757
YJL013C	0.954166	0.043143
YJL016W	1.028530	0.006463
YJL017W	1.079328	0.012633
YJL020C	1.021658	0.008063
YJL021C	1.000027	0.008405
YJL022W	1.003029	0.010859
YJL023C	NaN	NaN
YJL024C	0.961597	0.007839
YJL027C	1.044508	0.005234
YJL028W	1.044311	0.008363
YJL029C	NaN	NaN
YJL030W	1.045736	0.016932
YJL036W	0.897079	0.008728
YJL037W	1.048369	0.006399
YJL038C	1.018369	0.008569
YJL042W	0.985999	0.015229
YJL043W	1.004618	0.004970
YJL044C	0.999699	0.006435
YJL045W	1.024639	0.010091
YJL046W	0.815948	0.012013
YJL047C	0.971077	0.007145
YJL047C-A	0.965049	0.014068
YJL048C	0.998044	0.006201
YJL049W	1.004864	0.008555
YJL051W	1.064327	0.008368
YJL052C-A	1.019990	0.006290
YJL052W	1.046408	0.015750
YJL053W	0.875493	0.011813
YJL055W	1.069411	0.007217
YJL056C	0.375923	0.026519
YJL057C	1.038704	0.007170
YJL058C	1.068613	0.007718
YJL059W	1.016410	0.006709
YJL060W	1.016304	0.005254
YJL062W	1.096584	0.009395
YJL062W-A	0.690150	0.034801
YJL063C	0.637357	0.036126
YJL064W	0.985246	0.009926
YJL065C	0.988127	0.009442
YJL066C	1.045528	0.008267
YJL067W	1.059791	0.009635
YJL068C	0.996120	0.005671
YJL070C	1.055898	0.014897
YJL071W	NaN	NaN
YJL073W	1.021064	0.010023
YJL077C	1.023507	0.006391
YJL077W-B	NaN	NaN
YJL078C	0.955614	0.008215
YJL079C	1.014647	0.009362
YJL082W	1.034778	0.010030
YJL083W	1.036446	0.006848
YJL084C	1.029207	0.010780
YJL088W	NaN	NaN
YJL089W	1.021935	0.006573
YJL092W	1.009276	0.007689
YJL093C	0.985423	0.008207
YJL094C	1.017798	0.008366
YJL095W	0.984805	0.013820
YJL096W	0.538337	0.043441
YJL098W	1.031209	0.006457
YJL099W	1.024602	0.006346
YJL100W	1.035370	0.008520
YJL101C	0.787900	0.015168
YJL102W	0.437931	0.071488
YJL103C	1.020284	0.006249
YJL105W	1.026583	0.011142
YJL106W	1.013974	0.008992
YJL107C	0.997167	0.013530
YJL108C	1.043310	0.007429
YJL110C	1.019948	0.008281
YJL112W	1.004352	0.014962
YJL115W	0.735046	0.020820
YJL116C	1.015782	0.007169
YJL117W	0.966619	0.010742
YJL118W	1.004166	0.008525
YJL119C	0.988622	0.011738
YJL120W	0.886851	0.012331
YJL121C	0.891801	0.008571
YJL122W	0.989530	0.005169
YJL123C	1.012631	0.009202
YJL124C	0.953880	0.010151
YJL126W	1.026686	0.008730
YJL127C-B	1.031746	0.005338
YJL128C	0.978304	0.008202
YJL130C	1.023879	0.006704
YJL131C	0.781164	0.028121
YJL132W	1.039548	0.010852
YJL133C-A	0.823684	0.020597
YJL133W	1.042406	0.011425
YJL134W	1.011042	0.006164
YJL135W	0.998731	0.014173
YJL136C	0.847712	0.010521
YJL136W-A	1.032494	0.008707
YJL137C	1.018829	0.005374
YJL138C	0.869996	0.012954
YJL139C	0.987915	0.010915
YJL141C	1.020152	0.010901
YJL142C	1.028097	0.008984
YJL144W	1.064678	0.009219
YJL145W	0.980883	0.008688
YJL146W	1.013175	0.009526
YJL147C	0.910454	0.015365
YJL148W	0.798393	0.014592
YJL149W	0.980560	0.008380
YJL150W	0.993136	0.010684
YJL151C	0.972848	0.016470
YJL152W	0.984940	0.013026
YJL153C	1.004395	0.009087
YJL154C	0.807775	0.013097
YJL155C	1.065744	0.007681
YJL157C	NaN	NaN
YJL158C	0.999791	0.005692
YJL159W	1.079977	0.008476
YJL160C	1.035877	0.010169
YJL161W	1.068675	0.015788
YJL162C	1.037066	0.013777
YJL163C	1.008123	0.008661
YJL164C	0.931300	0.008075
YJL165C	0.916628	0.008118
YJL166W	0.744768	0.047645
YJL168C	0.924147	0.011358
YJL169W	1.013521	0.013720
YJL170C	1.036137	0.006990
YJL171C	1.021663	0.008050
YJL172W	1.014626	0.008105
YJL175W	NaN	NaN
YJL176C	NaN	NaN
YJL177W	0.876538	0.010894
YJL178C	1.020862	0.007620
YJL179W	NaN	NaN
YJL180C	0.688607	0.036405
YJL181W	1.042061	0.010076
YJL182C	0.977629	0.014696
YJL183W	0.979344	0.011913
YJL185C	0.992292	0.006778
YJL186W	1.016731	0.008897
YJL187C	1.031469	0.007372
YJL188C	1.050924	0.011536
YJL189W	NaN	NaN
YJL190C	0.715305	0.017658
YJL191W	1.044596	0.006834
YJL192C	1.021389	0.007937
YJL193W	1.008871	0.008273
YJL196C	0.996778	0.006648
YJL197W	0.993986	0.007796
YJL198W	1.019851	0.008418
YJL199C	1.011716	0.013597
YJL200C	0.237223	0.017672
YJL201W	1.024521	0.010816
YJL204C	NaN	NaN
YJL205C	1.037339	0.012669
YJL206C	0.966044	0.011802
YJL206C-A	0.982513	0.015308
YJL207C	NaN	NaN
YJL208C	1.009490	0.014595
YJL209W	0.772528	0.036505
YJL210W	0.871401	0.008408
YJL211C	0.857999	0.010862
YJL212C	1.020389	0.011857
YJL213W	1.000106	0.010944
YJL214W	1.036312	0.007776
YJL215C	1.016505	0.012763
YJL216C	1.014036	0.008261
YJL217W	1.005808	0.013073
YJL218W	1.016971	0.007456
YJL219W	0.948326	0.022260
YJL221C	1.006547	0.014843
YJL222W	0.984664	0.007291
YJL223C	1.047604	0.008189
YJL225C	1.028662	0.008355
YJR001W	1.007187	0.007871
YJR003C	1.021242	0.006908
YJR004C	1.036610	0.009069
YJR005C-A	1.051676	0.007487
YJR005W	0.978249	0.010026
YJR008W	1.040173	0.007219
YJR009C	1.044846	0.007231
YJR010C-A	1.039954	0.005881
YJR010W	1.046875	0.007963
YJR011C	1.001068	0.013713
YJR014W	0.963338	0.007405
YJR015W	1.034243	0.006387
YJR019C	1.035939	0.009026
YJR020W	0.964418	0.014752
YJR021C	1.017174	0.010649
YJR024C	1.083892	0.013136
YJR025C	0.968287	0.006571
YJR026W	NaN	NaN
YJR030C	0.965711	0.008849
YJR031C	0.989729	0.006299
YJR032W	0.654450	0.020822
YJR033C	0.950808	0.010966
YJR034W	0.750648	0.050081
YJR035W	0.997484	0.007999
YJR036C	1.053669	0.012179
YJR037W	1.066222	0.012119
YJR038C	1.040069	0.008723
YJR039W	1.007050	0.008701
YJR040W	0.966751	0.005803
YJR043C	0.912153	0.008295
YJR044C	0.938221	0.010247
YJR047C	1.046306	0.009264
YJR048W	0.999823	0.008320
YJR049C	0.751761	0.017991
YJR050W	0.998101	0.010076
YJR051W	1.049171	0.008067
YJR052W	1.027819	0.006995
YJR053W	0.979758	0.017794
